replication,seed,estimator,benchmarked,bias,absolute_bias,mae,rmse,correlation,innovation_correlation,top_peak_recall
13,1212,cross_pull_median,False,-0.1840358323969231,0.1840358323969231,3.49748892606989,4.49566427960982,0.9861314516923553,0.9564079355464553,0.8947368421052632
13,1212,simple_mean,False,-1.67734678605663e-14,1.67734678605663e-14,3.2565769644410065,4.234483663430243,0.987560349010002,0.9753679346434838,0.8947368421052632
13,1212,RACER_GT,False,-2.4111860049564055e-14,2.4111860049564055e-14,3.2568218544543326,4.252263465672697,0.9875276074241491,0.9752025325637897,0.8947368421052632
13,1212,single_pull_benchmarked,True,0.00036468723611147156,0.005082834773689538,5.651090834269628,7.212287848405162,0.9648665563142996,0.886771402095285,0.8654970760233919
13,1212,cross_pull_median_benchmarked,True,-0.15675836037477034,0.15675836037477034,3.2954020143667804,4.230626590165784,0.9875998873017307,0.956655370446604,0.8947368421052632
13,1212,simple_mean_benchmarked,True,0.00036468723611185125,0.00036468723611185125,3.0229854127511455,3.941285839079487,0.9891275805830358,0.9755447042520807,0.8947368421052632
13,1212,RACER_GT_benchmarked,True,0.00036151822582858713,0.00036151822582858713,3.0213559188232813,3.9571336976919884,0.9890948368894524,0.9753852791044488,0.8947368421052632
14,1213,single_pull,False,2.092369319026403e-15,1.0418704959688172e-14,5.613173935855411,7.363661693941793,0.9706276732389547,0.879242182797722,0.912280701754386
14,1213,cross_pull_median,False,-0.1192828826969531,0.1192828826969531,3.2244346965234603,4.301908087962067,0.9895166438043748,0.9525199630883235,1.0
14,1213,simple_mean,False,2.0578560106713283e-15,2.0578560106713283e-15,2.907106584184443,3.866328524491757,0.9915025295049948,0.9728577863462216,1.0
14,1213,RACER_GT,False,-4.4069180605886e-15,4.4069180605886e-15,2.8906729760745318,3.824665506964245,0.9917215167340246,0.9730382559955547,1.0
14,1213,single_pull_benchmarked,True,0.011352670485679166,0.011527272533346556,5.33982541999489,7.024969115976611,0.9732892879536872,0.8796718583644768,0.912280701754386
14,1213,cross_pull_median_benchmarked,True,-0.08929508667652565,0.08929508667652565,3.061784654761187,4.098941874675642,0.9904993906549587,0.952684846942458,1.0
14,1213,simple_mean_benchmarked,True,0.011352670485679808,0.011352670485679808,2.7379170291507484,3.67153149464973,0.9923557473964665,0.9730255199101873,1.0
14,1213,RACER_GT_benchmarked,True,0.012139166022327154,0.012139166022327154,2.726450613472438,3.635674304522122,0.9925397105293535,0.9732113720867305,1.0
15,1214,single_pull,False,2.9854011727139605e-15,5.418589411746726e-15,5.567382134537941,7.107532974586919,0.9740283356882907,0.902507872671927,0.8654970760233918
15,1214,cross_pull_median,False,-0.12373666841021355,0.12373666841021355,3.2886995429943293,4.236946170422487,0.9905655499073062,0.9644647909756343,0.8947368421052632
15,1214,simple_mean,False,3.688609830448608e-15,3.688609830448608e-15,3.084483957118745,3.897262485953069,0.9919605791717248,0.9777732975332193,0.8947368421052632
15,1214,RACER_GT,False,1.155117289008906e-14,1.155117289008906e-14,3.1354558585947867,3.9517580732941244,0.9917059140159264,0.9756553050506797,0.8947368421052632
15,1214,single_pull_benchmarked,True,0.01186835579342819,0.01186835579342819,5.26486602589402,6.72956705219808,0.9765763644523666,0.9028060738930633,0.8654970760233918
15,1214,cross_pull_median_benchmarked,True,-0.09453924419188241,0.09453924419188241,3.0712677862644924,3.96541693388209,0.9917062070124666,0.9646449688324364,0.8947368421052632
15,1214,simple_mean_benchmarked,True,0.01186835579342939,0.01186835579342939,2.8420053760001727,3.6182180652784384,0.9930509025802753,0.977856065449767,0.8947368421052632
15,1214,RACER_GT_benchmarked,True,0.01134736899407172,0.01134736899407172,2.895272867228067,3.6733677913402523,0.9928153119477747,0.9757588306036369,0.8947368421052632
16,1215,single_pull,False,1.2748353273655713e-14,1.4025345682793475e-14,5.699931900717599,7.480880527294652,0.9701372382532036,0.8994213467538139,0.8888888888888888
16,1215,cross_pull_median,False,0.04429327918177946,0.04429327918177946,2.9188352897780945,3.7291084377939727,0.9923227164380211,0.9636558890990214,1.0
16,1215,simple_mean,False,1.2502445951625806e-14,1.2502445951625806e-14,2.5980061789435225,3.284209067886772,0.9940802974143225,0.9770760545425163,1.0
16,1215,RACER_GT,False,3.6109548866496895e-15,3.6109548866496895e-15,2.5231411024372075,3.216253297179171,0.9943334567322238,0.9772300040827125,1.0
16,1215,single_pull_benchmarked,True,-0.02227655125253756,0.02227655125253756,5.4206520187095695,7.126485706177909,0.9727669426937897,0.8997239685868416,0.9005847953216374
16,1215,cross_pull_median_benchmarked,True,0.01790375108499073,0.01790375108499073,2.8136029944471126,3.6136311251521263,0.9927910907810014,0.9636840764273873,1.0
16,1215,simple_mean_benchmarked,True,-0.022276551252537906,0.022276551252537906,2.492671155454533,3.1512589654756997,0.9945580497386751,0.9771387894240688,1.0
16,1215,RACER_GT_benchmarked,True,-0.0220752480762723,0.0220752480762723,2.4238119659037753,3.0882979165027473,0.9947826417107922,0.9772833625386443,1.0
17,1216,single_pull,False,-7.10327027582881e-15,9.268980375109746e-15,5.548432280864968,7.098113659083744,0.9721382326935455,0.8730597111926994,0.9005847953216374
17,1216,cross_pull_median,False,-0.15987081619370241,0.15987081619370241,2.9090124939760864,3.817669021405397,0.9916237907946003,0.9416005882069322,0.9473684210526315
17,1216,simple_mean,False,-6.9501174700031656e-15,6.9501174700031656e-15,2.417867521427155,3.226047231158099,0.9940505103945451,0.9703836309519689,0.9473684210526315
17,1216,RACER_GT,False,6.057085616315608e-15,6.057085616315608e-15,2.4116958239309882,3.2471836724381995,0.9939524030476652,0.9696586640429802,0.9473684210526315
17,1216,single_pull_benchmarked,True,-0.023239954566863827,0.023239954566863827,5.302593083321094,6.785924554505029,0.9743790401500304,0.8734592940437731,0.9005847953216374
17,1216,cross_pull_median_benchmarked,True,-0.16354783854963925,0.16354783854963925,2.8056343003198974,3.6914500772849723,0.9921393018675326,0.9416443626087756,0.9473684210526315
17,1216,simple_mean_benchmarked,True,-0.023239954566863518,0.023239954566863518,2.3195140374037844,3.1027313087891817,0.9944722084861678,0.9704552644764399,0.9473684210526315
17,1216,RACER_GT_benchmarked,True,-0.02332169309210838,0.02332169309210838,2.3185423803406082,3.1265197686426225,0.9943711815519395,0.969721174548717,0.9473684210526315
18,1217,single_pull,False,-1.637009356916636e-14,1.6611686727651885e-14,5.41694549299314,6.914414898290703,0.9671132986225969,0.8783113677104137,0.8771929824561403
18,1217,cross_pull_median,False,-0.07773873262989989,0.07773873262989989,2.992869478242095,3.7991397411358454,0.9899318123849834,0.9505741930983836,0.9473684210526315
18,1217,simple_mean,False,-1.6462848085370627e-14,1.6462848085370627e-14,2.5885651252840516,3.2507595218655134,0.9926747558241168,0.9737612087182494,0.9473684210526315
18,1217,RACER_GT,False,-1.8481876624142495e-14,1.8481876624142495e-14,2.5928053919877154,3.2613697457882402,0.9926354819713641,0.9739447282142202,0.9473684210526315
